conn	nginx worker	usr	sys	nic	idle	io	irq	sirq	SUM	i/o				IIS7	IIS7-mbps
1	14.7	2.9	8.5	0	63.8	0	0	24.7	36.1	3129.7	3204812.8	3.056347656	24.45078125	5597.5	43.73046875
2	64.8	3	25	0	16.6	0	0	55.2	83.2	6198.3	6347059.2	6.053027344	48.42421875	20769.7	162.26328125
3	94.9	1.9	40.3	0	0.9	0	0	56.7	98.9	7274.9	7449497.6	7.104394531	56.83515625	42134.6	329.1765625
4	96.1	1.3	40.9	0	0.1	0	0	57.4	99.6	7803.5	7990784	7.620605469	60.96484375	52939.3	413.58828125
5	95.5	2.9	40.1	0	0	0	0	56.8	99.8	7360.1	7536742.4	7.187597656	57.50078125	62825.3	490.82265625
6	96.6	2.5	43.4	0	0	0	0	54	99.9	7399.6	7577190.4	7.226171875	57.809375	61030.6	476.8015625
7	97.4	1.9	42.3	0	0	0	0	55.7	99.9	7824.4	8012185.6	7.641015625	61.128125	60083.9	469.40546875
8	96.4	1.7	41.7	0	0	0	0	56.4	99.8	7844.6	8032870.4	7.660742188	61.2859375	65505.5	511.76171875
9	96.6	1.5	37.7	0	0	0	0	60.7	99.9	7414.8	7592755.2	7.241015625	57.928125	64360	502.8125
10	97	1.7	40	0	0	0	0	58.1	99.8	7379.5	7556608	7.206542969	57.65234375	66018.5	515.76953125
